,uwwName,uwwLatitude,uwwLongitude,the_geom
247,Canterbury ,51.29526239,1.11028535,POINT (1.110285347 51.29526242804862)
248,Bedworth ,52.48589839,-1.45849048,POINT (-1.4584904830000003 52.48589842689121)
249,Beeston ,52.92310433,-1.19498637,POINT (-1.19498637 52.923104366423566)
250,Bilsthorpe ,53.14707191,-1.04276871,POINT (-1.042768706 53.14707194617555)
251,Fleckney ,52.54539277,-1.03218055,POINT (-1.0321805449999997 52.54539280682887)
252,Oxted ,51.23447661,0.00277854,POINT (0.002778536 51.23447664810297)
253,Frampton ,51.77572,-2.38390622,POINT (-2.3839062200000005 51.77572003760255)
254,Frankton ,52.32118808,-1.36601761,POINT (-1.366017607 52.321188117061595)
255,Creagh,54.75899999999999,-6.5120000000000005,POINT (-6.512 54.75900003423185)
256,Donaghmore,54.5306,-6.8065,POINT (-6.806499999999999 54.53060003452334)
257,Drefach/Veli ,52.0321732,-4.40494821,POINT (-4.40494820927523 52.03217323269851)
258,Llandovery Wastewater Treatment ,51.98269855,-3.80489799,POINT (-3.80489799054482 51.982698590303045)
259,Lingfield ,51.18736794,-0.014991399999999998,POINT (-0.014991404 51.18736797814477)
260,Robertsbridge ,50.98489896,0.48395827,POINT (0.483958271 50.984898998321185)
261,Tenterden ,51.06276798,0.66244184,POINT (0.6624418369999999 51.06276801825396)
262,Edenbridge ,51.202231700000006,0.07782180000000001,POINT (0.077821803 51.202231738131616)
263,Leeds ,51.25243564,0.61091413,POINT (0.610914128 51.25243567808697)
264,Sellinge ,51.10514198,0.97834191,POINT (0.9783419110000001 51.10514201821705)
265,Bidborough ,51.15961194,0.22879491,POINT (0.228794907 51.159611978169266)
266,Tunbridge Wells North ,51.15694529,0.28908989,POINT (0.289089886 51.15694532817162)
267,Swalecliffe ,51.36447219,1.06472967,POINT (1.0647296690000003 51.364472227986155)
268,Godstone ,51.23698012,-0.04690885,POINT (-0.046908847 51.236980158100735)
269,Ditton ,51.3039137,0.45217957,POINT (0.4521795720000001 51.303913738040855)
270,Wadhurst Whitegates ,51.08349709,0.32722732,POINT (0.327227324 51.083497128235926)
271,Crowborough   ,51.07807026,0.14014027,POINT (0.140140271 51.07807029824064)
272,Cranbrook ,51.09634129,0.54423235,POINT (0.5442323489999998 51.09634132822474)
273,Rampton ,53.289751,-0.797755,POINT (-0.797755 53.28975103601461)
274,Alnwick ,55.41231292,-1.67935939,POINT (-1.679359391 55.412312953370964)
275,Amble ,55.32323485,-1.58032187,POINT (-1.580321871 55.323234883490635)
276,Newton   ,54.60381884,-1.56236164,POINT (-1.5623616379999996 54.603818874430445)
277,Durham (Barkers Haugh) ,54.78383048,-1.56461972,POINT (-1.5646197230000003 54.78383051419984)
278,Barnard Castle ,54.53834851,-1.91807104,POINT (-1.9180710370000003 54.53834854451354)
279,Winsford ,53.20170307,-2.52344135,POINT (-2.5234413520000003 53.20170310611418)
280,Workington ,54.67177383,-3.54474469,POINT (-3.544744689 54.67177386434375)
281,Worsley ,53.52068437,-2.42153275,POINT (-2.421532751 53.52068440574937)
282,Wrenbury ,53.02389284,-2.58633227,POINT (-2.5863322700000007 53.023892876312665)
283,Salford ,53.47926186,-2.31141272,POINT (-2.3114127230000006 53.47926189579738)
284,Dalston Wwtw,54.85147479,-2.96781618,POINT (-2.967816181 54.851474824112394)
285,Ingleton Etw Effluent From Land Treatmnt,54.14845096,-2.48101394,POINT (-2.481013944 54.148450994999585)
286,Kirkby Lonsdale  Humus Tank Effluent,54.19523408,-2.59130012,POINT (-2.591300122 54.19523411494207)
287,Newbiggin  Humus Tank Effluent,54.11147495,-3.12681986,POINT (-3.1268198609999995 54.11147498504489)
288,Tattenhall Wwtw,53.12774458,-2.78048904,POINT (-2.7804890440000003 53.12774461619717)
289,Llangefni ,53.24575861,-4.3012516,POINT (-4.301251596690129 53.24575864527936)
290,Gaerwen ,53.22796404,-4.29854382,POINT (-4.2985438151816995 53.22796407331227)
291,Bear Park   ,54.78283391,-1.61547398,POINT (-1.615473976 54.78283394420112)
292,Durham (Belmont) ,54.80095644,-1.53021375,POINT (-1.5302137529999997 54.80095647417775)
293,Berwick ,55.76539997,-2.03346068,POINT (-2.0334606840000005 55.76540000288979)
294,Blyth ,55.13366599,-1.53980618,POINT (-1.5398061810000003 55.133666023742926)
295,Bowburn   ,54.72709584,-1.5326206,POINT (-1.5326205959999997 54.727095874272855)
296,Middlesborough   ,54.60887353,-1.13267295,POINT (-1.1326729529999997 54.608873564424)
297,Broomhaugh ,54.95264797,-1.95782962,POINT (-1.9578296180000005 54.95264800398079)
298,Durham (Browney) ,54.74171276,-1.59924326,POINT (-1.5992432589999999 54.741712794254084)
299,Cambois ,55.15673582,-1.5405138,POINT (-1.5405138020000004 55.1567358537124)
300,Carlton & Redmarshall ,54.59380668,-1.40600175,POINT (-1.4060017530000002 54.593806714443176)
301,Chester-Le-Street ,54.85931421,-1.56380757,POINT (-1.5638075730000003 54.85931424410223)
302,Ferryhill (Chilton Lane ),54.66728362,-1.51966329,POINT (-1.519663293 54.667283654349504)
303,Consett ,54.88903082,-1.85064169,POINT (-1.8506416889999997 54.889030854063655)
304,Cramlington ,55.11090211,-1.58160813,POINT (-1.5816081290000001 55.110902143773004)
305,Tanfield   ,54.8925169,-1.69596993,POINT (-1.6959699289999999 54.892516934059124)
306,Esh Winning ,54.77459613,-1.68861491,POINT (-1.6886149139999997 54.774596164211765)
307,Felton ,55.30004619,-1.7007396000000001,POINT (-1.7007395999999997 55.30004622352167)
308,Ruthin  ,53.12381104,-3.31512472,POINT (-3.31512471898695 53.12381107594796)
309,Acle ,52.63276755,1.55555709,POINT (1.5555570870000002 52.63276758673658)
